0	0	But, did they always have the same tune to it?	Transcription	Herbert Halpert
1.699535	1.699535	Oh yes, they had the same tune all the time but different wording, you know. They would make up words all the time. You see, the fellows from different railroads would come and work on this track with us and each fellow, perhaps he'd have a new verse that he'd add to the song.	Transcription	Harold B. Hazelhurst
16.570463	16.570463	Well, good. Well now, let's hear it the way that you remember it.	Transcription	Herbert Halpert
19.827904	19.827904	Well, sing it over again? Sing it now?	Transcription	Harold B. Hazelhurst
22.44802	22.44802	Start from the beginning. Alright.	Transcription	Herbert Halpert
95	95	[Distortion]	Notes	Distortion
102.963475	102.963475	Tell us about this.	Transcription	Herbert Halpert
104.167312	104.167312	Every morning about four o'clock, the foreman, the tent, sack rouster, would go around and knock on the tent with his axe handle. Says 'Alright boys, let's go back'. Says 'Let's go back boys to double track. The work ain't hard, the man ain't mean. The cook ain't nasty, but the grub ain't clean. You sleep on my good bed and you call 'em bunk. You eat my good ration, and you call it junk. So, now let's go back.'	Transcription	Harold B. Hazelhurst
133.201029	133.201029	How was the arrangement, how was the arrangement of the tents?	Transcription	Herbert Halpert
135.962773	135.962773	The tents were in circles. And each, they were built in circles so as when he'd leave the last tent, he would be at the first tent again. He'd go all around and when he stopped at the last tent, he'd be right back at the first tent again.	Transcription	Harold B. Hazelhurst
154.020329	154.020329	Well, he was the foreman of the job?	Transcription	Herbert Halpert
155.826084	155.826084	Well, he was one of the foremans on the job.	Transcription	Harold B. Hazelhurst
158.092131	158.092131	Uh-huh.	Transcription	Herbert Halpert
158.85338	158.85338	So, they would take turns in arousing the men every morning but this particular man, he would use those phrase.	Transcription	Harold B. Hazelhurst
164.819455	164.819455	Uh-huh. And he just said them like that?	Transcription	Herbert Halpert
166.92617	166.92617	Yes, he didn't have no expression whatever. [Laughter]. It was just dry.	Transcription	Harold B. Hazelhurst
173.210908	173.210908	[Laughter]. Even if he had no expression, let's hear it again.	Transcription	Herbert Halpert
178.592767	178.592767	Come on boys, let's go back to double track. The work ain't hard, and the man ain't mean. The cook ain't nasty, but the grub ain't clean. You sleep on the good beds and you call 'em bunk. You eat my good rations, and you call it junk. So, now let's go back.'	Transcription	Harold B. Hazelhurst
201.394857	201.394857	Tell me when it would be different.	Transcription	Herbert Halpert
203.377648	203.377648	Well, sometime, when the boss man wouldn't go around himself, he'd send some of the fellas, colored fellas, around to arouse the men. They'd say 'Come on boys, let's go back. Yes, you sleep on his good beds and you call 'em bunk,  You eat his good rations, and you call 'em junk. So, now if I have to call it, you want to fight. Now that white man call it, it's captain alright. Now, let's go back.	Transcription	Harold B. Hazelhurst
234.464969	234.464969	Alright. Tell us about it.	Transcription	Herbert Halpert
235.102295	235.102295	All of these songs that I'm singing, they didn't have no particular title. We just began singing them as the feelings would come on.	Transcription	Harold B. Hazelhurst
243.954038	243.954038	Alright, when did the feelings come on for this one?	Transcription	Herbert Halpert
247.211479	247.211479	Well, sometimes the fellas, it'd be near pay day, and some of the fellas would think about going away to another job and they began feeling good. They began singing some of these songs and this one, in particular.	Transcription	Harold B. Hazelhurst
365	365	[Distortion]	Notes	Distortion
367.949254	367.949254	Go ahead.	Transcription	Herbert Halpert
371.348324	371.348324	During the early days of the settlers in South Carolina, Buford County, when the church was first established there, before there were schools and seminaries, why the preachers preached mostly by imagination, and as I've been in contact during my boyhood days with quite a few settlers from that part of the state, I've learned this sermon how an old minister use to preach it a long time ago and instead of being able to reiterate from the bible, he just imagined something and went on to preach it in a form of dialect as I shall give you now as near as I can imitate him.	Transcription	H. W. Stuckey
576.307483	576.307483	What was that song? When did that song come in?	Transcription	Herbert Halpert
579.22665	579.22665	[Laughter] On the close of the sermon, they open the doors of the church after he got through.	Transcription	H. W. Stuckey
583.103669	583.103669	Yeah and who would sing it?	Transcription	Herbert Halpert
585.293045	585.293045	Old sister in the corner.	Transcription	H. W. Stuckey
587.573644	587.573644	Well I mean was there any particular reason for singing this song? Was that at the opening of the church door?	Transcription	Herbert Halpert
592.089231	592.089231	At the opening of the church door according to the members, the church members.	Transcription	H. W. Stuckey
595.555742	595.555742	And this was the song that was used, she would use?	Transcription	Herbert Halpert
597.836342	597.836342	Would you sing it over again, please?	Transcription	Herbert Halpert
617.568408	617.568408	Uh Zora Hurston speaking. In all the big work camps, sawmills, and turpentine, still, and road camps and whatnot they have a man to go down and wake up the camp. And he has various chants and hollers to wake them up and sometimes he wakes them up as he goes along.	Transcription	Zora Neale Hurston
634.068057	634.068057	Well, speaking about what you're getting ready to, Where'd you hear that?	Transcription	Herbert Halpert
639.733172	639.733172	Well, I heard these at Loughman, a big sawmill down state in Polk County.	Transcription	Zora Neale Hurston
713.769151	713.769151	Alright	Transcription	Herbert Halpert
714.229442	714.229442	What kind of a song is this, Zora?	Transcription	Carita Doggett Corse
